A;B;C;D;E;F;G;H;I
Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Reference;Impact on price;Quantity;Minimal quantity;Default (0 = No, 1 = Yes);IMPACT on price (NETOS)
196642;acabado:Color:0;ECOPIEL NEGRA:0;00026001000024;0;0;1;0;0
196642;acabado:Color:0;ECOPIEL BLANCA:0;00026001000025;0;0;1;1;0
196643;;;00026001000026;0;0;1;1;0
200111;color:Color:0;PIEL NEGRA:0;00026000000583;0;0;1;1;0
200112;color:Color:0;PIEL NEGRA:0;00026000000584;0;0;1;1;0
200111;color:Color:0;PIEL BLANCA:0;00026000000585;-100;0;1;0;-60.5
200112;color:Color:0;PIEL BLANCA:0;00026000000586;-100;0;1;0;-60.5
200115;;;00026000000587;0;0;1;1;0
200116;;;00026000000588;0;0;1;1;0
200172;;;00026000000644;0;0;1;1;0
200176;;;00026000000648;0;0;1;1;0
179760;;;00026100000069;-100;0;1;0;-12.099999999999966
179761;;;00026100000070;-200;0;1;0;-217.80000000000007
179762;color:Color:0;PIEL BLANCA:0;00026100000071;0;0;1;0;0
179762;color:Color:0;PIEL NEGRA:0;00026100000072;0;0;1;1;0
200174;;;00026000000646;0;0;1;1;0
200165;color:Color:0;PIEL NEGRA:0;00026000000637;0;0;1;1;0
200165;color:Color:0;PIEL BLANCA:0;00026000000638;0;0;1;0;0
200175;;;00026000000647;0;0;1;1;0
200146;acabado:Color:0;ECOPIEL NEGRA:0;00026000000618;0;0;1;1;0
200146;acabado:Color:0;ECOPIEL BLANCA:0;00026000000621;0;0;1;0;0
200146;acabado:Color:0;ECOPIEL GRIS PLOMO:0;00026000000624;0;0;1;0;0
200146;acabado:Color:0;ECOPIEL AZUL OSCURO:0;00026000000625;0;0;1;0;0
200146;acabado:Color:0;ECOPIEL GRIS PERLA:0;00026000000626;0;0;1;0;0
200146;acabado:Color:0;ECOPIEL CHOCOLATE:0;00026000000627;0;0;1;0;0
200147;acabado:Color:0;ECOPIEL NEGRA:0;00026000000619;0;0;1;1;0
200147;acabado:Color:0;ECOPIEL BLANCA:0;00026000000622;0;0;1;0;0
200147;acabado:Color:0;ECOPIEL GRIS PLOMO:0;00026000000628;0;0;1;0;0
200147;acabado:Color:0;ECOPIEL AZUL OSCURO:0;00026000000629;0;0;1;0;0
200147;acabado:Color:0;ECOPIEL GRIS PERLA:0;00026000000630;0;0;1;0;0
200147;acabado:Color:0;ECOPIEL CHOCOLATE:0;00026000000631;0;0;1;0;0
200148;acabado:Color:0;ECOPIEL NEGRA:0;00026000000620;0;0;1;1;0
200148;acabado:Color:0;ECOPIEL BLANCA:0;00026000000623;0;0;1;0;0
200148;acabado:Color:0;ECOPIEL GRIS PLOMO:0;00026000000632;0;0;1;0;0
200148;acabado:Color:0;ECOPIEL AZUL OSCURO:0;00026000000633;0;0;1;0;0
200148;acabado:Color:0;ECOPIEL GRIS PERLA:0;00026000000634;0;0;1;0;0
200148;acabado:Color:0;ECOPIEL CHOCOLATE:0;00026000000635;0;0;1;0;0
200197;acabado:Color:0;ROJO:0;00026000000669;0;0;1;1;0
200197;acabado:Color:0;LIMA:0;00026000000672;0;0;1;0;0
200197;acabado:Color:0;NEGRO:0;00026000000668;0;0;1;0;0
200197;acabado:Color:0;AZUL:0;00026000000678;0;0;1;0;0
200197;acabado:Color:0;BLANCO:0;00026000000667;0;0;1;0;0
200197;acabado:Color:0;ARENA:0;00026000000673;0;0;1;0;0
200198;acabado:Color:0;ROJO:0;00026000000680;0;0;1;0;0
200198;acabado:Color:0;LIMA:0;00026000000670;0;0;1;1;0
200198;acabado:Color:0;NEGRO:0;00026000000676;0;0;1;0;0
200198;acabado:Color:0;AZUL:0;00026000000674;0;0;1;0;0
200198;acabado:Color:0;BLANCO:0;00026000000681;0;0;1;0;0
200198;acabado:Color:0;ARENA:0;00026000000665;0;0;1;0;0
200095;acabado:Color:0;BLANCO:0;00026000000566;0;0;1;0;0
200095;acabado:Color:0;ARENA:0;00026000000573;0;0;1;0;0
200095;acabado:Color:0;NARANJA:0;00026000000567;0;0;1;1;0
200095;acabado:Color:0;ROJO:0;00026000000570;0;0;1;0;0
200095;acabado:Color:0;VERDE:0;00026000000569;0;0;1;0;0
200095;acabado:Color:0;AZUL:0;00026000000571;0;0;1;0;0
200095;acabado:Color:0;NEGRO:0;00026000000568;0;0;1;0;0
200095;acabado:Color:0;GRIS:0;00026000000572;0;0;1;0;0
200089;acabado:Color:0;BLANCO:0;00026000000558;0;0;1;0;0
200089;acabado:Color:0;ARENA:0;00026000000565;0;0;1;0;0
200089;acabado:Color:0;NARANJA:0;00026000000559;0;0;1;0;0
200089;acabado:Color:0;ROJO:0;00026000000562;0;0;1;0;0
200089;acabado:Color:0;VERDE:0;00026000000561;0;0;1;1;0
200089;acabado:Color:0;AZUL:0;00026000000563;0;0;1;0;0
200089;acabado:Color:0;NEGRO:0;00026000000560;0;0;1;0;0
200089;acabado:Color:0;GRIS:0;00026000000564;0;0;1;0;0
200211;acabado:Color:0;AZUL:0;00026000000683;0;0;1;1;0
200211;acabado:Color:0;NEGRO:0;00026000000684;0;0;1;0;0
200211;acabado:Color:0;GRIS:0;00026000000688;0;0;1;0;0
200211;acabado:Color:0;ROJO:0;00026000000685;0;0;1;0;0
200211;acabado:Color:0;VERDE:0;00026000000686;0;0;1;0;0
200211;acabado:Color:0;BLANCO:0;00026000000687;0;0;1;0;0
200053;acabado:Color:0;BURDEOS:0;00026000000525;0;0;1;1;0
200053;acabado:Color:0;NEGRO:0;00026000000812;0;0;1;0;0
200053;acabado:Color:0;AZUL:0;00026000000526;0;0;1;0;0
200053;acabado:Color:0;GRIS:0;00026000000524;0;0;1;0;0
200053;acabado:Color:0;BLANCO:0;00026000000527;0;0;1;0;0
200313;acabado:Color:0;BLANCO:0;00026000000773;0;0;1;0;0
200313;acabado:Color:0;ARENA:0;00026000000780;0;0;1;0;0
200313;acabado:Color:0;ROJO:0;00026000000770;0;0;1;0;0
