Product ID*;"Attribute (Name:Type:Position)*	Value (Value:Position)*";Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
69237;Color:color:0;:0;00089001000001;;;;;;;;;;;5;http://promosillas.com/tiendaonline/img/p/3/7/2/7/3727.jpg;;;;;
69237;Color:color:0;:0;00089001000002;;;;;;;;;;;9;http://promosillas.com/tiendaonline/img/p/3/7/3/1/3731.jpg;;;;;
69237;Color:color:0;Gris:0;00089001000003;;;;;;;;;;;13;http://promosillas.com/tiendaonline/img/p/3/7/3/5/3735.jpg;;;;;
69237;Color:color:0;Beige:0;00089001000004;;;;;;;;;;;17;http://promosillas.com/tiendaonline/img/p/3/7/3/9/3739.jpg;;;;;
69237;Color:color:0;Antracita:0;00089001000005;;;;;;;;;;;21;http://promosillas.com/tiendaonline/img/p/3/7/4/3/3743.jpg;;;;;
69241;Color:color:0;:0;00089002000000;;;;;;;;;;;1;http://promosillas.com/tiendaonline/img/p/3/8/5/6/3856.jpg;;;;;
69241;Color:color:0;:0;00089002000001;;;;;;;;;;;5;http://promosillas.com/tiendaonline/img/p/3/8/6/0/3860.jpg;;;;;
69241;Color:color:0;:0;00089002000002;;;;;;;;;;;9;http://promosillas.com/tiendaonline/img/p/3/8/6/4/3864.jpg;;;;;
69241;Color:color:0;:0;00089002000003;;;;;;;;;;;13;http://promosillas.com/tiendaonline/img/p/3/8/6/8/3868.jpg;;;;;
69241;Color:color:0;:0;00089002000004;;;;;;;;;;;17;http://promosillas.com/tiendaonline/img/p/3/8/7/2/3872.jpg;;;;;
69241;Color:color:0;:0;00089002000005;;;;;;;;;;;21;http://promosillas.com/tiendaonline/img/p/3/8/7/6/3876.jpg;;;;;
70759;Color:color:0;Negro:0;00009001000000;;;;;;;;;;;10;http://promosillas.com/tiendaonline/img/p/4/3/8/9/4389.jpg;;;;;
70759;Color:color:0;Blanco:0;00009001000013;;;;;;;;;;;15;http://promosillas.com/tiendaonline/img/p/4/3/9/4/4394.jpg;;;;;
70759;Color:color:0;Gris:0;00009000000000;;;;;;;;;;;1;http://promosillas.com/tiendaonline/img/p/4/3/8/0/4380.jpg;;;;;
70759;Color:color:0;Marron:0;00009000000001;;;;;;;;;;;5;http://promosillas.com/tiendaonline/img/p/4/3/8/4/4384.jpg;;;;;
97692;Color:color:0;Blanco:0;00066001000006;;;;;;;;;;;1;http://promosillas.com/tiendaonline/img/p/3/8/2/6/3826.jpg;;;;;
97692;Color:color:0;Marron:0;00066001000007;;;;;;;;;;;5;http://promosillas.com/tiendaonline/img/p/3/8/3/0/3830.jpg;;;;;
97692;Color:color:0;Gris:0;00066006010001;;;;;;;;;;;9;http://promosillas.com/tiendaonline/img/p/3/8/3/4/3834.jpg;;;;;
122690;Color:color:0;Blanco:0;00026000000012;;;;;;;;;;;5;http://promosillas.com/tiendaonline/img/p/4/0/7/1/4071.jpg;;;;;
122690;Color:color:0;Negro:0;00026000000011;;;;;;;;;;;1;http://promosillas.com/tiendaonline/img/p/4/0/6/7/4067.jpg;;;;;
122690;Color:color:0;Gris:0;00026000000013;;;;;;;;;;;9;http://promosillas.com/tiendaonline/img/p/4/0/7/5/4075.jpg;;;;;
122725;Color:color:0;Blanco:0;00026000000032;;;;;;;;;;;1;http://promosillas.com/tiendaonline/img/p/4/6/2/9/4629.jpg;;;;;
122725;Color:color:0;Negro:0;00026000000041;;;;;;;;;;;5;http://promosillas.com/tiendaonline/img/p/4/6/3/3/4633.jpg;;;;;
122725;Color:color:0;Gris:0;00026000000072;;;;;;;;;;;10;http://promosillas.com/tiendaonline/img/p/4/6/3/8/4638.jpg;;;;;
129154;Color:color:0;Gris:0;00008001000014;;;;;;;;;;;1;http://promosillas.com/tiendaonline/img/p/4/4/7/1/4471.jpg;;;;;
129154;Color:color:0;Marron:0;00008001000015;;;;;;;;;;;5;http://promosillas.com/tiendaonline/img/p/4/4/7/5/4475.jpg;;;;;
141203;Color:color:0;Gris:0;00009001010002;;;;;;;;;;;5;http://promosillas.com/tiendaonline/img/p/4/6/2/3/4623.jpg;;;;;
