,Atributo (nombre:tipo:posición),Valor (valor:posición),Por defecto,Cantidad,Cantidad mínima
1557,Talla:select:0,XXL:0,0,500,1
1558,Talla:select:0,XS:0,0,500,1
1558,Talla:select:0,S:0,0,500,1
1558,Talla:select:0,M:0,1,500,1
1558,Talla:select:0,L:0,0,500,1
1558,Talla:select:0,XL:0,0,500,1
1558,Talla:select:0,XXL:0,0,500,1
1559,Talla:select:0,XS:0,0,500,1
1559,Talla:select:0,S:0,0,500,1
1559,Talla:select:0,M:0,1,500,1
1559,Talla:select:0,L:0,0,500,1
1559,Talla:select:0,XL:0,0,500,1
1559,Talla:select:0,XXL:0,0,500,1
1560,Talla:select:0,XS:0,0,500,1
1560,Talla:select:0,S:0,0,500,1
1560,Talla:select:0,M:0,1,500,1
1560,Talla:select:0,L:0,0,500,1
1560,Talla:select:0,XL:0,0,500,1
1560,Talla:select:0,XXL:0,0,500,1
1561,Talla:select:0,XS:0,0,500,1
1561,Talla:select:0,S:0,0,500,1
1561,Talla:select:0,M:0,1,500,1
1561,Talla:select:0,L:0,0,500,1
1561,Talla:select:0,XL:0,0,500,1
1561,Talla:select:0,XXL:0,0,500,1
1562,Talla:select:0,XS:0,0,500,1
1562,Talla:select:0,S:0,0,500,1
1562,Talla:select:0,M:0,1,500,1
1562,Talla:select:0,L:0,0,500,1
1562,Talla:select:0,XL:0,0,500,1
1562,Talla:select:0,XXL:0,0,500,1
1563,Talla:select:0,XS:0,0,500,1
1563,Talla:select:0,S:0,0,500,1
1563,Talla:select:0,M:0,1,500,1
1563,Talla:select:0,L:0,0,500,1
1563,Talla:select:0,XL:0,0,500,1
1563,Talla:select:0,XXL:0,0,500,1
1564,Talla:select:0,XS:0,0,500,1
1564,Talla:select:0,S:0,0,500,1
1564,Talla:select:0,M:0,1,500,1
1564,Talla:select:0,L:0,0,500,1
1564,Talla:select:0,XL:0,0,500,1
1564,Talla:select:0,XXL:0,0,500,1
1565,Talla:select:0,XS:0,0,500,1
1565,Talla:select:0,S:0,0,500,1
1565,Talla:select:0,M:0,1,500,1
1565,Talla:select:0,L:0,0,500,1
1565,Talla:select:0,XL:0,0,500,1
1565,Talla:select:0,XXL:0,0,500,1
1566,Talla:select:0,XS:0,0,500,1
1566,Talla:select:0,S:0,0,500,1
1566,Talla:select:0,M:0,1,500,1
1566,Talla:select:0,L:0,0,500,1
1566,Talla:select:0,XL:0,0,500,1
1566,Talla:select:0,XXL:0,0,500,1
1567,Talla:select:0,XS:0,0,500,1
1567,Talla:select:0,S:0,0,500,1
1567,Talla:select:0,M:0,1,500,1
1567,Talla:select:0,L:0,0,500,1
1567,Talla:select:0,XL:0,0,500,1
1567,Talla:select:0,XXL:0,0,500,1
1568,Talla:select:0,XS:0,0,500,1
1568,Talla:select:0,S:0,0,500,1
1568,Talla:select:0,M:0,1,500,1
1568,Talla:select:0,L:0,0,500,1
1568,Talla:select:0,XL:0,0,500,1
1568,Talla:select:0,XXL:0,0,500,1
1569,Talla:select:0,XS:0,0,500,1
1569,Talla:select:0,S:0,0,500,1
1569,Talla:select:0,M:0,1,500,1
1569,Talla:select:0,L:0,0,500,1
1569,Talla:select:0,XL:0,0,500,1
1569,Talla:select:0,XXL:0,0,500,1
1570,Talla:select:0,XS:0,0,500,1
1570,Talla:select:0,S:0,0,500,1
1570,Talla:select:0,M:0,1,500,1
1570,Talla:select:0,L:0,0,500,1
1570,Talla:select:0,XL:0,0,500,1
1570,Talla:select:0,XXL:0,0,500,1
1571,Talla:select:0,XS:0,0,500,1
1571,Talla:select:0,S:0,0,500,1
1571,Talla:select:0,M:0,1,500,1
1571,Talla:select:0,L:0,0,500,1
1571,Talla:select:0,XL:0,0,500,1
1571,Talla:select:0,XXL:0,0,500,1
1572,Talla:select:0,XS:0,0,500,1
1572,Talla:select:0,S:0,0,500,1
1572,Talla:select:0,M:0,1,500,1
1572,Talla:select:0,L:0,0,500,1
1572,Talla:select:0,XL:0,0,500,1
1572,Talla:select:0,XXL:0,0,500,1
1573,Talla:select:0,XS:0,0,500,1
1573,Talla:select:0,S:0,0,500,1
1573,Talla:select:0,M:0,1,500,1
1573,Talla:select:0,L:0,0,500,1
1573,Talla:select:0,XL:0,0,500,1
1573,Talla:select:0,XXL:0,0,500,1
1574,Talla:select:0,XS:0,0,500,1
1574,Talla:select:0,S:0,0,500,1
1574,Talla:select:0,M:0,1,500,1
1574,Talla:select:0,L:0,0,500,1
1574,Talla:select:0,XL:0,0,500,1
1574,Talla:select:0,XXL:0,0,500,1
1575,Talla:select:0,XS:0,0,500,1
1575,Talla:select:0,S:0,0,500,1
1575,Talla:select:0,M:0,1,500,1
1575,Talla:select:0,L:0,0,500,1
1575,Talla:select:0,XL:0,0,500,1
1575,Talla:select:0,XXL:0,0,500,1
1576,Talla:select:0,XS:0,0,500,1
1576,Talla:select:0,S:0,0,500,1
1576,Talla:select:0,M:0,1,500,1
1576,Talla:select:0,L:0,0,500,1
1576,Talla:select:0,XL:0,0,500,1
1576,Talla:select:0,XXL:0,0,500,1
1577,Talla:select:0,XS:0,0,500,1
1577,Talla:select:0,S:0,0,500,1
1577,Talla:select:0,M:0,1,500,1
1577,Talla:select:0,L:0,0,500,1
1577,Talla:select:0,XL:0,0,500,1
1577,Talla:select:0,XXL:0,0,500,1
1578,Talla:select:0,XS:0,0,500,1
1578,Talla:select:0,S:0,0,500,1
1578,Talla:select:0,M:0,1,500,1
1578,Talla:select:0,L:0,0,500,1
1578,Talla:select:0,XL:0,0,500,1
1578,Talla:select:0,XXL:0,0,500,1
1579,Talla:select:0,XS:0,0,500,1
1579,Talla:select:0,S:0,0,500,1
1579,Talla:select:0,M:0,1,500,1
1579,Talla:select:0,L:0,0,500,1
1579,Talla:select:0,XL:0,0,500,1
1579,Talla:select:0,XXL:0,0,500,1
1580,Talla:select:0,XS:0,0,500,1
1580,Talla:select:0,S:0,0,500,1
1580,Talla:select:0,M:0,1,500,1
1580,Talla:select:0,L:0,0,500,1
1580,Talla:select:0,XL:0,0,500,1
1580,Talla:select:0,XXL:0,0,500,1
1581,Talla:select:0,XS:0,0,500,1
1581,Talla:select:0,S:0,0,500,1
1581,Talla:select:0,M:0,1,500,1
1581,Talla:select:0,L:0,0,500,1
1581,Talla:select:0,XL:0,0,500,1
1581,Talla:select:0,XXL:0,0,500,1
1582,Talla:select:0,XS:0,0,500,1
1582,Talla:select:0,S:0,0,500,1
1582,Talla:select:0,M:0,1,500,1
1582,Talla:select:0,L:0,0,500,1
1582,Talla:select:0,XL:0,0,500,1
1582,Talla:select:0,XXL:0,0,500,1
1583,Talla:select:0,XS:0,0,500,1
1583,Talla:select:0,S:0,0,500,1
1583,Talla:select:0,M:0,1,500,1
1583,Talla:select:0,L:0,0,500,1
1583,Talla:select:0,XL:0,0,500,1
1583,Talla:select:0,XXL:0,0,500,1
1584,Talla:select:0,XS:0,0,500,1
1584,Talla:select:0,S:0,0,500,1
1584,Talla:select:0,M:0,1,500,1
1584,Talla:select:0,L:0,0,500,1
1584,Talla:select:0,XL:0,0,500,1
1584,Talla:select:0,XXL:0,0,500,1
1585,Talla:select:0,XS:0,0,500,1
1585,Talla:select:0,S:0,0,500,1
1585,Talla:select:0,M:0,1,500,1
1585,Talla:select:0,L:0,0,500,1
1585,Talla:select:0,XL:0,0,500,1
1585,Talla:select:0,XXL:0,0,500,1
1586,Talla:select:0,XS:0,0,500,1
1586,Talla:select:0,S:0,0,500,1
1586,Talla:select:0,M:0,1,500,1
1586,Talla:select:0,L:0,0,500,1
1586,Talla:select:0,XL:0,0,500,1
1586,Talla:select:0,XXL:0,0,500,1
1587,Talla:select:0,XS:0,0,500,1
1587,Talla:select:0,S:0,0,500,1
1587,Talla:select:0,M:0,1,500,1
1587,Talla:select:0,L:0,0,500,1
1587,Talla:select:0,XL:0,0,500,1
1587,Talla:select:0,XXL:0,0,500,1
1588,Talla:select:0,XS:0,0,500,1
1588,Talla:select:0,S:0,0,500,1
1588,Talla:select:0,M:0,1,500,1
1588,Talla:select:0,L:0,0,500,1
1588,Talla:select:0,XL:0,0,500,1
1588,Talla:select:0,XXL:0,0,500,1
1589,Talla:select:0,XS:0,0,500,1
1589,Talla:select:0,S:0,0,500,1
1589,Talla:select:0,M:0,1,500,1
1589,Talla:select:0,L:0,0,500,1
1589,Talla:select:0,XL:0,0,500,1
1589,Talla:select:0,XXL:0,0,500,1
1590,Talla:select:0,XS:0,0,500,1
1590,Talla:select:0,S:0,0,500,1
1590,Talla:select:0,M:0,1,500,1
1590,Talla:select:0,L:0,0,500,1
1590,Talla:select:0,XL:0,0,500,1
1590,Talla:select:0,XXL:0,0,500,1
1591,Talla:select:0,XS:0,0,500,1
1591,Talla:select:0,S:0,0,500,1
1591,Talla:select:0,M:0,1,500,1
1591,Talla:select:0,L:0,0,500,1
1591,Talla:select:0,XL:0,0,500,1
1591,Talla:select:0,XXL:0,0,500,1
1592,Talla:select:0,XS:0,0,500,1
1592,Talla:select:0,S:0,0,500,1
1592,Talla:select:0,M:0,1,500,1
1592,Talla:select:0,L:0,0,500,1
1592,Talla:select:0,XL:0,0,500,1
1592,Talla:select:0,XXL:0,0,500,1
1593,Talla:select:0,XS:0,0,500,1
1593,Talla:select:0,S:0,0,500,1
1593,Talla:select:0,M:0,1,500,1
1593,Talla:select:0,L:0,0,500,1
1593,Talla:select:0,XL:0,0,500,1
1593,Talla:select:0,XXL:0,0,500,1
1594,Talla:select:0,XS:0,0,500,1
1594,Talla:select:0,S:0,0,500,1
1594,Talla:select:0,M:0,1,500,1
