Product ID*;"Attribute (Name:Type:Position)*	Value (Value:Position)*";Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
186789;Color:color:0;Gris:0;00026700000002;;;;;;;;;0;;9;http://phpandfriends.com/imagenes_promosillas/1775.jpg;1;;;;
187385;Color:color:0;Negro:0;00026100000109;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/4255.jpg;1;;;;
187385;Color:color:0;Gris:0;00026100000110;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/4259.jpg;1;;;;
187385;Color:color:0;Azul:0;00026100000111;;;;;;;;;0;;10;http://phpandfriends.com/imagenes_promosillas/4264.jpg;1;;;;
191376;Color:color:0;Gris:0;00006000000005;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/3573.jpg;1;;;;
191376;Color:color:0;Gris:0;00006000000006;;;;;;;;;0;;4;http://phpandfriends.com/imagenes_promosillas/3576.jpg;1;;;;
191379;Color:color:0;Gris:0;00006000000007;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/3716.jpg;1;;;;
191379;Color:color:0;Gris:0;00006000000008;;;;;;;;;0;;4;http://phpandfriends.com/imagenes_promosillas/3719.jpg;1;;;;
191380;Color:color:0;:0;00103000000008;;;;;;;;;1;;2;http://phpandfriends.com/imagenes_promosillas/4484.jpg;1;;;;
191380;Color:color:0;Negro:0;00103000000009;;;;;;;;;0;;7;http://phpandfriends.com/imagenes_promosillas/4489.jpg;1;;;;
191380;Color:color:0;Blanco:0;00103000000010;;;;;;;;;0;;11;http://phpandfriends.com/imagenes_promosillas/4494.jpg;1;;;;
191380;Color:color:0;Gris:0;00103000000011;;;;;;;;;0;;16;http://phpandfriends.com/imagenes_promosillas/4499.jpg;1;;;;
191384;Color:color:0;:0;00103000000012;;;;;;;;;1;;2;http://phpandfriends.com/imagenes_promosillas/4527.jpg;1;;;;
191384;Color:color:0;Negro:0;00103000000013;;;;;;;;;0;;4;http://phpandfriends.com/imagenes_promosillas/4530.jpg;1;;;;
191384;Color:color:0;Blanco:0;00103000000014;;;;;;;;;0;;9;http://phpandfriends.com/imagenes_promosillas/4534.jpg;1;;;;
191384;Color:color:0;Gris:0;00103000000015;;;;;;;;;0;;12;http://phpandfriends.com/imagenes_promosillas/4538.jpg;1;;;;
191388;Color:color:0;:0;00102000000006;;;;;;;;;1;;2;http://phpandfriends.com/imagenes_promosillas/4399.jpg;1;;;;
191388;Color:color:0;Negro:0;00102000000007;;;;;;;;;0;;7;http://phpandfriends.com/imagenes_promosillas/4404.jpg;1;;;;
191388;Color:color:0;Blanco:0;00102000000008;;;;;;;;;0;;13;http://phpandfriends.com/imagenes_promosillas/4409.jpg;1;;;;
191392;Color:color:0;:0;00102000000010;;;;;;;;;1;;6;http://phpandfriends.com/imagenes_promosillas/19011.jpg;1;;;;
191392;Color:color:0;Blanco:0;00102000000011;;;;;;;;;0;;2;http://phpandfriends.com/imagenes_promosillas/19008.jpg;1;;;;
191439;Color:color:0;Azul:0;00026000000359;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/1748.jpg;1;;;;
191439;Color:color:0;Rojo:0;00026000000360;;;;;;;;;0;;3;http://phpandfriends.com/imagenes_promosillas/1750.jpg;1;;;;
191439;Color:color:0;Gris:0;00026000000361;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/1752.jpg;1;;;;
191458;Color:color:0;Blanco:0;00100000000009;;;;;;;;;1;;3;http://phpandfriends.com/imagenes_promosillas/4571.jpg;1;;;;
191458;Color:color:0;Negro:0;00100000000010;;;;;;;;;0;;7;http://phpandfriends.com/imagenes_promosillas/4575.jpg;1;;;;
191461;Color:color:0;Blanco:0;00100000000011;;;;;;;;;1;;2;http://phpandfriends.com/imagenes_promosillas/4562.jpg;1;;;;
191461;Color:color:0;Negro:0;00100000000012;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/4566.jpg;1;;;;
191463;Color:color:0;Blanco:0;00100000000013;;;;;;;;;1;;3;http://phpandfriends.com/imagenes_promosillas/4548.jpg;1;;;;
191463;Color:color:0;Negro:0;00100000000014;;;;;;;;;0;;7;http://phpandfriends.com/imagenes_promosillas/4552.jpg;1;;;;
191480;Color:color:0;Blanco:0;00101000000026;;;;;;;;;1;;3;http://phpandfriends.com/imagenes_promosillas/19236.jpg;1;;;;
191480;Color:color:0;Marron:0;00101000000027;;;;;;;;;0;;7;http://phpandfriends.com/imagenes_promosillas/19241.jpg;1;;;;
191486;Color:color:0;Negro:0;00008000000005;;;;;;;;;1;;14;http://phpandfriends.com/imagenes_promosillas/19172.jpg;1;;;;
191486;Color:color:0;Blanco:0;00008000000006;;;;;;;;;0;;3;http://phpandfriends.com/imagenes_promosillas/19160.jpg;1;;;;
191486;Color:color:0;Marron:0;00008000000007;;;;;;;;;0;;6;http://phpandfriends.com/imagenes_promosillas/19164.jpg;1;;;;
191486;Color:color:0;Gris:0;00008000000008;;;;;;;;;0;;10;http://phpandfriends.com/imagenes_promosillas/19168.jpg;1;;;;
191491;Color:color:0;Negro:0;00008000000009;;;;;;;;;1;;10;http://phpandfriends.com/imagenes_promosillas/19184.jpg;1;;;;
191491;Color:color:0;Blanco:0;00008000000010;;;;;;;;;0;;2;http://phpandfriends.com/imagenes_promosillas/19176.jpg;1;;;;
191492;Color:color:0;Negro:0;00008000000011;;;;;;;;;1;;10;http://phpandfriends.com/imagenes_promosillas/19197.jpg;1;;;;
191492;Color:color:0;Blanco:0;00008000000012;;;;;;;;;0;;1;http://phpandfriends.com/imagenes_promosillas/19188.jpg;1;;;;
191492;Color:color:0;Gris:0;00008000000013;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/19192.jpg;1;;;;
191507;Color:color:0;Negro:0;00009000000002;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/4458.jpg;1;;;;
191507;Color:color:0;Blanco:0;00009000000003;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/4462.jpg;1;;;;
191507;Color:color:0;Marron:0;00009000000004;;;;;;;;;0;;9;http://phpandfriends.com/imagenes_promosillas/4466.jpg;1;;;;
191508;Color:color:0;Gris:0;00009000000005;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/4415.jpg;1;;;;
191508;Color:color:0;Marron:0;00009000000006;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/4419.jpg;1;;;;
