ID del producto,Atributo (nombre:tipo:posición),Valor (valor:posición),Por defecto,Cantidad,Cantidad mínima,impacto en el precio
1776,Talla:select:0,Queen:0,0,500,1,40
1776,Talla:select:0,King:0,0,500,1,80
1777,Talla:select:0,Twin:0,0,500,1,0
1777,Talla:select:0,Queen:0,0,500,1,40
1777,Talla:select:0,King:0,0,500,1,80
1778,Talla:select:0,Twin:0,0,500,1,0
1778,Talla:select:0,Queen:0,0,500,1,40
1778,Talla:select:0,King:0,0,500,1,80
1779,Talla:select:0,Twin:0,0,500,1,0
1779,Talla:select:0,Queen:0,0,500,1,40
1779,Talla:select:0,King:0,0,500,1,80
1780,Talla:select:0,Twin:0,0,500,1,0
1780,Talla:select:0,Queen:0,0,500,1,40
1780,Talla:select:0,King:0,0,500,1,80
1781,Talla:select:0,Twin:0,0,500,1,0
1781,Talla:select:0,Queen:0,0,500,1,40
1781,Talla:select:0,King:0,0,500,1,80
1782,Talla:select:0,Twin:0,0,500,1,0
1782,Talla:select:0,Queen:0,0,500,1,40
1782,Talla:select:0,King:0,0,500,1,80
1783,Talla:select:0,Twin:0,0,500,1,0
1783,Talla:select:0,Queen:0,0,500,1,40
1783,Talla:select:0,King:0,0,500,1,80
1784,Talla:select:0,Twin:0,0,500,1,0
1784,Talla:select:0,Queen:0,0,500,1,40
1784,Talla:select:0,King:0,0,500,1,80
1785,Talla:select:0,Twin:0,0,500,1,0
1785,Talla:select:0,Queen:0,0,500,1,40
1785,Talla:select:0,King:0,0,500,1,80
1786,Talla:select:0,Twin:0,0,500,1,0
1786,Talla:select:0,Queen:0,0,500,1,40
1786,Talla:select:0,King:0,0,500,1,80
1787,Talla:select:0,Twin:0,0,500,1,0
1787,Talla:select:0,Queen:0,0,500,1,40
1787,Talla:select:0,King:0,0,500,1,80
1788,Talla:select:0,Twin:0,0,500,1,0
1788,Talla:select:0,Queen:0,0,500,1,40
1788,Talla:select:0,King:0,0,500,1,80
1789,Talla:select:0,Twin:0,0,500,1,0
1789,Talla:select:0,Queen:0,0,500,1,40
1789,Talla:select:0,King:0,0,500,1,80
1790,Talla:select:0,Twin:0,0,500,1,0
1790,Talla:select:0,Queen:0,0,500,1,40
1790,Talla:select:0,King:0,0,500,1,80
1791,Talla:select:0,Twin:0,0,500,1,0
1791,Talla:select:0,Queen:0,0,500,1,40
1791,Talla:select:0,King:0,0,500,1,80
1792,Talla:select:0,Twin:0,0,500,1,0
1792,Talla:select:0,Queen:0,0,500,1,40
1792,Talla:select:0,King:0,0,500,1,80
1793,Talla:select:0,Twin:0,0,500,1,0
1793,Talla:select:0,Queen:0,0,500,1,40
1793,Talla:select:0,King:0,0,500,1,80
1794,Talla:select:0,Twin:0,0,500,1,0
1794,Talla:select:0,Queen:0,0,500,1,40
1794,Talla:select:0,King:0,0,500,1,80
1795,Talla:select:0,Twin:0,0,500,1,0
1795,Talla:select:0,Queen:0,0,500,1,40
1795,Talla:select:0,King:0,0,500,1,80
1796,Talla:select:0,Twin:0,0,500,1,0
1796,Talla:select:0,Queen:0,0,500,1,40
1796,Talla:select:0,King:0,0,500,1,80
1797,Talla:select:0,Twin:0,0,500,1,0
1797,Talla:select:0,Queen:0,0,500,1,40
1797,Talla:select:0,King:0,0,500,1,80
1798,Talla:select:0,Twin:0,0,500,1,0
1798,Talla:select:0,Queen:0,0,500,1,40
1798,Talla:select:0,King:0,0,500,1,80
1799,Talla:select:0,Twin:0,0,500,1,0
1799,Talla:select:0,Queen:0,0,500,1,40
1799,Talla:select:0,King:0,0,500,1,80
1800,Talla:select:0,Twin:0,0,500,1,0
1800,Talla:select:0,Queen:0,0,500,1,40
1800,Talla:select:0,King:0,0,500,1,80
1801,Talla:select:0,Twin:0,0,500,1,0
1801,Talla:select:0,Queen:0,0,500,1,40
1801,Talla:select:0,King:0,0,500,1,80
1802,Talla:select:0,Twin:0,0,500,1,0
1802,Talla:select:0,Queen:0,0,500,1,40
1802,Talla:select:0,King:0,0,500,1,80
1803,Talla:select:0,Twin:0,0,500,1,0
1803,Talla:select:0,Queen:0,0,500,1,40
1803,Talla:select:0,King:0,0,500,1,80
1804,Talla:select:0,Twin:0,0,500,1,0
1804,Talla:select:0,Queen:0,0,500,1,40
1804,Talla:select:0,King:0,0,500,1,80
1805,Talla:select:0,Twin:0,0,500,1,0
1805,Talla:select:0,Queen:0,0,500,1,40
1805,Talla:select:0,King:0,0,500,1,80
1806,Talla:select:0,Twin:0,0,500,1,0
1806,Talla:select:0,Queen:0,0,500,1,40
1806,Talla:select:0,King:0,0,500,1,80
1807,Talla:select:0,Twin:0,0,500,1,0
1807,Talla:select:0,Queen:0,0,500,1,40
1807,Talla:select:0,King:0,0,500,1,80
1808,Talla:select:0,Twin:0,0,500,1,0
1808,Talla:select:0,Queen:0,0,500,1,40
1808,Talla:select:0,King:0,0,500,1,80
1809,Talla:select:0,Twin:0,0,500,1,0
1809,Talla:select:0,Queen:0,0,500,1,40
1809,Talla:select:0,King:0,0,500,1,80
1810,Talla:select:0,Twin:0,0,500,1,0
1810,Talla:select:0,Queen:0,0,500,1,40
1810,Talla:select:0,King:0,0,500,1,80
1811,Talla:select:0,Twin:0,0,500,1,0
1811,Talla:select:0,Queen:0,0,500,1,40
1811,Talla:select:0,King:0,0,500,1,80
1812,Talla:select:0,Twin:0,0,500,1,0
1812,Talla:select:0,Queen:0,0,500,1,40
1812,Talla:select:0,King:0,0,500,1,80
1813,Talla:select:0,Twin:0,0,500,1,0
1813,Talla:select:0,Queen:0,0,500,1,40
1813,Talla:select:0,King:0,0,500,1,80
1814,Talla:select:0,Twin:0,0,500,1,0
1814,Talla:select:0,Queen:0,0,500,1,40
1814,Talla:select:0,King:0,0,500,1,80
1815,Talla:select:0,Twin:0,0,500,1,0
1815,Talla:select:0,Queen:0,0,500,1,40
1815,Talla:select:0,King:0,0,500,1,80
1816,Talla:select:0,Twin:0,0,500,1,0
1816,Talla:select:0,Queen:0,0,500,1,40
1816,Talla:select:0,King:0,0,500,1,80
1817,Talla:select:0,Twin:0,0,500,1,0
